atten,min_prb_ratio,ue_id,CQI,DRB.RlcSduTransmittedVolumeDL,DRB.UEThpDl,RSRP,timestamp
0,0,3,15,121749.0,120210.0,31,2025-03-03 19:34:59.899991
0,0,3,15,119906.0,120220.0,30,2025-03-03 19:35:00.918695
0,0,3,15,119928.0,120220.0,29,2025-03-03 19:35:01.936864
0,0,3,15,119895.0,120220.0,29,2025-03-03 19:35:02.955210
0,0,3,15,119818.0,120210.0,29,2025-03-03 19:35:03.984649
0,0,3,15,119542.0,119680.0,29,2025-03-03 19:35:05.001904
0,0,3,15,117435.0,117743.0,29,2025-03-03 19:35:06.019815
0,0,3,15,117391.0,117743.0,29,2025-03-03 19:35:07.037043
0,0,3,15,117490.0,117733.0,29,2025-03-03 19:35:08.055270
0,0,3,15,117402.0,117743.0,29,2025-03-03 19:35:09.085288
0,0,3,15,117292.0,117507.0,29,2025-03-03 19:35:10.103703
0,0,3,15,115449.0,115759.0,29,2025-03-03 19:35:11.121667
0,0,3,15,115471.0,115748.0,29,2025-03-03 19:35:12.139479
0,0,3,15,115449.0,115759.0,29,2025-03-03 19:35:13.155086
0,0,3,15,115460.0,115759.0,29,2025-03-03 19:35:14.179347
0,0,3,15,115460.0,115705.0,29,2025-03-03 19:35:15.193916
0,0,3,15,112923.0,113168.0,29,2025-03-03 19:35:16.208835
0,0,3,15,112879.0,113179.0,29,2025-03-03 19:35:17.223831
0,0,3,15,112868.0,113179.0,29,2025-03-03 19:35:18.238378
0,0,3,15,112890.0,113169.0,29,2025-03-03 19:35:19.264031
0,0,3,15,112890.0,113169.0,29,2025-03-03 19:35:20.278632
0,0,3,15,110849.0,111053.0,29,2025-03-03 19:35:21.293833
0,0,3,15,110606.0,110911.0,29,2025-03-03 19:35:22.309119
0,0,3,15,110595.0,110911.0,29,2025-03-03 19:35:23.323820
0,0,3,15,110584.0,110911.0,29,2025-03-03 19:35:24.350096
0,0,3,15,110584.0,110911.0,29,2025-03-03 19:35:25.364890
0,0,3,15,108841.0,109047.0,29,2025-03-03 19:35:26.381026
0,0,3,15,108466.0,108714.0,29,2025-03-03 19:35:27.397046
0,0,3,15,108422.0,108724.0,29,2025-03-03 19:35:28.413125
0,0,3,15,108444.0,108724.0,29,2025-03-03 19:35:29.437691
0,0,3,15,106690.0,106878.0,29,2025-03-03 19:35:30.453243
0,0,3,15,106028.0,106290.0,29,2025-03-03 19:35:31.469396
0,0,3,15,106006.0,106300.0,29,2025-03-03 19:35:32.485757
0,0,3,15,106017.0,106300.0,29,2025-03-03 19:35:33.501528
0,0,3,15,106028.0,106300.0,29,2025-03-03 19:35:34.524638
0,0,3,15,104737.0,104944.0,29,2025-03-03 19:35:35.539277
0,0,3,15,104020.0,104303.0,29,2025-03-03 19:35:36.554165
0,0,3,15,103976.0,104303.0,29,2025-03-03 19:35:37.569235
0,0,3,15,104064.0,104303.0,29,2025-03-03 19:35:38.584009
0,0,3,15,104042.0,104293.0,29,2025-03-03 19:35:39.607816
0,0,3,15,102796.0,102989.0,29,2025-03-03 19:35:40.622468
0,0,3,15,101748.0,102080.0,29,2025-03-03 19:35:41.637192
0,0,3,15,101869.0,102080.0,29,2025-03-03 19:35:42.652237
0,0,3,15,101803.0,102070.0,29,2025-03-03 19:35:43.666198
0,0,3,15,101803.0,102080.0,29,2025-03-03 19:35:44.690005
0,0,3,15,99740.0,99822.0,29,2025-03-03 19:35:45.704639
0,0,3,15,97368.0,97652.0,29,2025-03-03 19:35:46.719396
0,0,3,15,97390.0,97642.0,29,2025-03-03 19:35:47.734209
0,0,3,15,97379.0,97652.0,29,2025-03-03 19:35:48.749005
0,0,3,15,97390.0,97652.0,29,2025-03-03 19:35:49.773173
0,0,3,15,96629.0,96809.0,29,2025-03-03 19:35:50.788010
0,0,3,15,95404.0,95655.0,29,2025-03-03 19:35:51.802640
0,0,3,15,95404.0,95665.0,29,2025-03-03 19:35:52.818532
0,0,3,15,95415.0,95665.0,29,2025-03-03 19:35:53.834309
0,0,3,15,95426.0,95665.0,29,2025-03-03 19:35:54.859926
0,0,3,15,94709.0,94899.0,29,2025-03-03 19:35:55.874624
0,0,3,15,93176.0,93445.0,29,2025-03-03 19:35:56.889525
0,0,3,15,93220.0,93445.0,29,2025-03-03 19:35:57.904648
0,0,3,15,93176.0,93445.0,29,2025-03-03 19:35:58.920354
0,0,3,15,93032.0,93434.0,29,2025-03-03 19:35:59.944251
0,0,3,15,92768.0,92813.0,29,2025-03-03 19:36:00.958840
0,0,3,15,90738.0,90967.0,29,2025-03-03 19:36:01.973834
0,0,3,15,90727.0,90967.0,29,2025-03-03 19:36:02.989742
0,0,3,15,90716.0,90957.0,29,2025-03-03 19:36:04.005430
0,0,3,15,90716.0,90967.0,29,2025-03-03 19:36:05.028949
0,0,3,15,90385.0,90592.0,29,2025-03-03 19:36:06.044830
0,0,3,15,88509.0,88760.0,29,2025-03-03 19:36:07.059719
0,0,3,15,88520.0,88749.0,29,2025-03-03 19:36:08.074657
0,0,3,15,88509.0,88760.0,29,2025-03-03 19:36:09.089817
0,0,3,15,88520.0,88759.0,29,2025-03-03 19:36:10.113778
0,0,3,15,88366.0,88565.0,29,2025-03-03 19:36:11.127610
0,0,3,15,86248.0,86475.0,29,2025-03-03 19:36:12.142397
0,0,3,15,86237.0,86485.0,29,2025-03-03 19:36:13.157793
0,0,3,15,86248.0,86485.0,29,2025-03-03 19:36:14.172865
0,0,3,15,86248.0,86485.0,29,2025-03-03 19:36:15.201332
0,0,3,15,86259.0,86475.0,29,2025-03-03 19:36:16.215998
